,Apr-25 (mb),2991603593,3005992431,3019858340,3037885950,3051482952,3073819737,3088209048,3102831898,3117565686,3132275148,3146908306
USER 54,7602.9971,10006.4219,10473.5781,10240,9697.5078,10240.3271,9733.9385,10240,10240,7427.7393,6845.6729,7369.1914
USER 55,10240,10240,10240,10240,8547.8096,10240,10406.9248,10240,10239.9316,6861.7881,10240,10240
USER 56,771.5068,5700.0117,1596.1465,2334.5273,7959.7891,2944.7324,2199.5195,2898.04,2571.9189,1482.9854,2821.6484,1172.6406
USER 57,5459.8711,4622.2383,3603.1992,3709.7168,10240,10149.1348,2764.7266,2372.2344,3787.6113,4706.2021,3309.543,5949.4121
USER 58,7529.5146,10240,10240,9416.126,10240,10240,10240,10240,10240,10240,10285.2188,10525.1045
USER 59,4274.3076,2459.7666,4194.2754,3830.6367,5762.5938,3231.8545,2408.9717,1242.748,2967.4238,2953.1924,2061.1201,1413.2705
USER 60,4897.5947,4872.1436,7125.3701,5435.3125,6678.2695,11334.6855,6583.167,6085.5166,29798.9268,4022.4639,4737.8613,12921.1045
USER 61,2623.792,4112.9365,10240,4278.9824,3568.3125,10239.9883,4037.6797,2610.0166,6286.5244,2369.4258,2866.7939,2239.4639
USER 62,1184.1172,2393.6064,3142.1855,2846.7422,4069.6318,4468.457,3424.709,4766.5635,10275.3916,3174.3457,,
USER 63,21561.4463,12726.2012,16283.3027,9168.5039,7191.5469,7808.123,5758.8613,6669.6338,3730.2559,2909.7373,3214.7402,3998.3438
USER 64,39.4834,124.1768,528.5586,285.0986,359.0752,252.252,108.3066,421.9727,,2.9531,94.0117,101.4707
USER 65,8188.2764,5214.3174,5312.8457,5520.7305,8281.8691,6181.1582,5945.5459,10047.791,10872.3232,6320.1943,13820.8184,17557.6367
USER 66,5112.2578,4995.0928,4072.9365,6844.5557,5766.2422,3288.5391,6015.2939,633.7266,4442.1982,1163.8467,3138.0811,1965.5342
USER 67,3968.2246,7837.4219,14050.7178,16233.4326,2156.499,3634.5596,9931.6641,6133.418,4201.6055,2753.0059,5865.4072,8050.3691
USER 68,2515.4131,376.4902,,,,,,,,,,
USER 69,188.2715,181.0078,260.541,320.4336,162.8271,1017.6445,207.3047,114.5342,161.9834,112.9297,82.6895,162.2119
USER 70,3781.5781,819.4092,1222.7031,675.0996,1998.1836,2393.8662,802.998,590.835,412.6836,1053,560.6719,648.5537
USER 71,5491.6328,5846.6924,8032.4844,10562.3359,7949.6914,8397.7646,7348.7676,8033.0693,3916.9697,6077.8887,6699.5146,5821.3496
USER 72,1662.6416,2712.7939,3578.0176,4795.0215,1819.3359,2035.166,2570.8926,2824.3721,4176.7695,8815.791,2697.9189,2229.4365
USER 73,1111.5371,1213.9102,1635.7871,2014.5537,1128.8779,1475.2139,1776.5977,1802.1191,1399.1846,795.6689,1924.4561,2195.9688
USER 74,5209.377,8143.4287,6639.6465,9026.7822,5064.3145,4895.8242,6888.7568,3162.2197,10240.5508,10240,10240,9095.8896
USER 75,832.4395,1096.5088,1446.1748,2258.2832,3656.5205,2767.9062,1648.2227,2777.2148,3109.3076,1829.4043,2022.3848,1626.0195
USER 76,16017.5938,9100.3096,8266.7051,8756.1455,10868.5938,7828.4043,5406.5215,3160.7344,8300.2803,6125.835,7215.7314,4766.7031
USER 77,17535.6953,,,,,,,,,,,
USER 78,8039.2783,9695.9717,7983.8828,8580.5527,10240.0254,8969.0967,7798.5361,7521.1377,7946.6514,6668.0762,8389.4883,6484.4678
USER 79,829.5371,2566.4883,1994.665,1301.3389,4708.167,3796.1992,3836.8662,4556.8594,3407.2422,1414.1406,2264.3223,9528.4619
USER 80,26787.1807,16781.4209,31795.5098,20813.4551,18492.1396,17716.2812,20615.5156,15890.9473,16927.8467,6169.4688,,
